name,team,pos,injuryMonth,injuryType
Kyle Bradish,BAL,SP,1,elbow
Kendall Graveman,HOU,RP,1,shoulder
Sean Hjelle,SFG,SP,2,elbow
Sam Moll,CIN,RP,2,shoulder
James Karinchak,CLE,RP,2,shoulder
Justin Verlander,HOU,SP,2,shoulder
Carlos Hernández,KCR,RP,2,shoulder
Braxton Garrett,MIA,SP,2,shoulder
Wade Miley,MIL,SP,2,shoulder
Zack Weiss,MIN,RP,2,shoulder
Glenn Otto,SDP,SP,2,shoulder
Eduard Bazardo,SEA,RP,2,shoulder
Kodai Senga,NYM,SP,2,shoulder
Shane Drohan,CHW,SP,2,shoulder
Alek Manoah,TOR,SP,2,shoulder
Shawn Dubin,HOU,SP,2,forearm
Trevor Stephan,CLE,RP,3,elbow
Gerrit Cole,NYY,SP,3,elbow
Gavin Williams,CLE,SP,3,elbow
Jordan Romano,TOR,RP,3,elbow
Lucas Giolito,BOS,SP,3,elbow
Carmen Mlodzinski,PIT,RP,3,elbow
Bryan Woo,SEA,SP,3,elbow
Anthony DeSclafani,MIN,SP,3,elbow
Dylan Covey,PHI,RP,3,shoulder
Brusdar Graterol,LAD,RP,3,shoulder
Caleb Kilian,CHC,SP,3,shoulder
Edward Cabrera,MIA,RP,3,shoulder
Brandon Williamson,CIN,SP,3,shoulder
Taijuan Walker,PHI,SP,3,shoulder
Sean Reid-Foley,NYM,RP,3,shoulder
Tylor Megill,NYM,SP,3,shoulder
Jesse Scholtens,CHW,SP,3,TJ
Mason Thompson,WSN,RP,3,TJ
Jackson Kowar,SEA,RP,3,TJ
Dauri Moreta,PIT,SP,3,TJ
Orion Kerkering,PHI,RP,3,forearm
Erik Swanson,TOR,RP,3,forearm
Riley O'Brien,STL,RP,3,forearm
Anthony DeSclafani,MIN,SP,3,forearm
Jonathan Loáisiga,NYY,RP,4,elbow
Framber Valdez,HOU,SP,4,elbow
Nick Pivetta,BOS,SP,4,elbow
Chase Silseth,LAA,SP,4,elbow
Spencer Strider,ATL,SP,4,elbow
Tejay Antone,CIN,RP,4,elbow
Huascar Ynoa,ATL,SP,4,elbow
Kyle Freeland,COL,SP,4,elbow
Ryne Nelson,ARI,SP,4,elbow
Jesús Luzardo,MIA,SP,4,elbow
Sawyer Gipson-Long,DET,SP,4,elbow
Josh Simpson,MIA,RP,4,elbow
Alec Marsh,KCR,SP,4,elbow
Pierce Johnson,ATL,RP,4,elbow
Jakob Junis,MIL,SP,4,shoulder
Josh Sborz,TEX,RP,4,shoulder
Bobby Miller,LAD,SP,4,shoulder
Isaiah Campbell,BOS,RP,4,shoulder
Chad Green,TOR,RP,4,shoulder
Luis Frías,ARI,RP,4,shoulder
Eli Morgan,CLE,RP,4,shoulder
Kyle Hurt,LAD,SP,4,shoulder
A.J. Puk,MIA,RP,4,shoulder
Miguel Castro,ARI,RP,4,shoulder
Merrill Kelly,ARI,SP,4,shoulder
Drew Smith,NYM,RP,4,shoulder
José Cisnero,LAA,RP,4,shoulder
Grayson Rodriguez,BAL,SP,4,shoulder
Yunior Marte,PHI,RP,4,shoulder
Trevor Gott,OAK,RP,4,TJ
Eury Pérez,MIA,SP,4,TJ
Chris Murphy,BOS,SP,4,TJ
Shane Bieber,CLE,SP,4,TJ
Robert Stephenson,LAA,RP,4,TJ
Luis Patiño,SDP,RP,4,TJ
Daniel Bard,COL,RP,4,forearm
Nick Pivetta,BOS,SP,4,forearm
Tejay Antone,CIN,RP,4,forearm
Marco Gonzales,PIT,SP,4,forearm
Frankie Montas,CIN,SP,4,forearm
Jordan Wicks,CHC,SP,4,forearm
Bowden Francis,TOR,RP,4,forearm
Joe Musgrove,SDP,SP,5,elbow
Tyler Matzek,SFG,RP,5,elbow
Daniel Duarte,MIN,RP,5,elbow
Jake Bird,COL,RP,5,elbow
Nick Robertson,STL,RP,5,elbow
Dominic Leone,CHW,RP,5,elbow
Ross Stripling,OAK,SP,5,elbow
Joe Musgrove,SDP,SP,5,elbow
Eli Morgan,CLE,RP,5,elbow
Garrett Whitlock,BOS,SP,5,elbow
Brock Stewart,MIN,RP,5,shoulder
Drew Rom,STL,SP,5,shoulder
Jacob Waguespack,TBR,SP,5,shoulder
Shintaro Fujinami,NYM,RP,5,shoulder
Dane Dunning,TEX,SP,5,shoulder
Joe Kelly,LAD,RP,5,shoulder
Giovanny Gallegos,STL,RP,5,shoulder
Daniel Palencia,CHC,RP,5,shoulder
Edward Cabrera,MIA,SP,5,shoulder
Josh Sborz,TEX,RP,5,shoulder
Justin Wilson,CIN,RP,5,shoulder
Kyle Muller,OAK,RP,5,shoulder
Justin Lawrence,COL,RP,5,shoulder
Edwin Díaz,NYM,RP,5,shoulder
Gabe Speier,SEA,RP,5,shoulder
Sixto Sánchez,MIA,SP,5,shoulder
Wade Miley,MIL,SP,5,TJ
Matt Brash,SEA,RP,5,TJ
Ken Waldichuk,OAK,SP,5,TJ
Emmet Sheehan,LAD,SP,5,TJ
Brooks Raley,NYM,RP,5,TJ
Ian Gibaut,CIN,RP,5,forearm
Keaton Winn,SFG,SP,5,forearm
Ken Waldichuk,OAK,SP,5,forearm
Trevor Williams,WSN,SP,5,forearm
Blake Walston,ARI,SP,6,elbow
Hurston Waldrep,ATL,SP,6,elbow
Yimi García,TOR,RP,6,elbow
Tyler Wells,BAL,SP,6,elbow
Alek Manoah,TOR,SP,6,elbow
Brendan White,DET,RP,6,elbow
Danny Coulombe,BAL,RP,6,elbow
Oliver Ortega,HOU,RP,6,elbow
Patrick Sandoval,LAA,SP,6,elbow
Tom Cosgrove,SDP,RP,6,elbow
Jimmy Herget,ATL,RP,6,shoulder
Adam Cimber,LAA,RP,6,shoulder
Yoshinobu Yamamoto,LAD,SP,6,shoulder
Cole Winn,TEX,RP,6,shoulder
Sean Reid-Foley,NYM,RP,6,shoulder
Jake Bloss,HOU,SP,6,shoulder
Chris Paddack,MIN,SP,6,shoulder
John Means,BAL,SP,6,TJ
José Urquidy,HOU,SP,6,TJ
Cristian Javier,HOU,SP,6,TJ
Kyle Bradish,BAL,SP,6,TJ
Robert Gasser,MIL,SP,6,TJ
Richard Lovelady,TBR,RP,6,forearm
Keynan Middleton,STL,RP,6,forearm
Braxton Garrett,MIA,SP,6,forearm
Mark Leiter Jr.,CHC,RP,6,forearm
Javier Assad,CHC,SP,6,forearm
Jared Koenig,MIL,RP,6,forearm
Chris Martin,BOS,RP,7,elbow
Jordan Romano,TOR,RP,7,elbow
Daulton Jefferies,PIT,RP,7,elbow
Justin Slaten,BOS,RP,7,elbow
Graham Ashcraft,CIN,SP,7,elbow
Reed Garrett,NYM,RP,7,elbow
Max Fried,ATL,SP,7,elbow
Isaiah Campbell,BOS,RP,7,elbow
Andrew Wantz,LAA,RP,7,elbow
Germán Márquez,COL,SP,7,elbow
Rob Zastryzny,MIL,RP,7,elbow
Keaton Winn,SFG,SP,7,elbow
Bryce Jarvis,ARI,RP,7,elbow
J.P. France,HOU,SP,7,shoulder
Dane Dunning,TEX,SP,7,shoulder
Yency Almonte,CHC,RP,7,shoulder
Luke Little,CHC,RP,7,shoulder
Carson Spiers,CIN,SP,7,shoulder
Michael Soroka,CHW,RP,7,shoulder
Jordan Leasure,CHW,RP,7,shoulder
Brent Suter,CIN,RP,7,shoulder
Reese Olson,DET,SP,7,shoulder
Alex Wood,OAK,SP,7,shoulder
Carmen Mlodzinski,PIT,RP,7,shoulder
Max Scherzer,TEX,SP,7,shoulder
Ray Kerr,ATL,RP,7,TJ
Luis F. Ortiz,PHI,RP,7,TJ
Drew Smith,NYM,RP,7,TJ
Josiah Gray,WSN,SP,7,TJ
Enoli Paredes,MIL,RP,7,forearm
Chris Paddack,MIN,SP,7,forearm
Hayden Wesneski,CHC,SP,7,forearm
Dedniel Núñez,NYM,RP,7,forearm
Reynaldo López,ATL,SP,7,forearm
Stephen Kolek,SDP,RP,7,forearm
Jacob Webb,BAL,RP,8,elbow
Luis Medina,OAK,SP,8,elbow
Dakota Hudson,COL,SP,8,elbow
Jhony Brito,SDP,SP,8,elbow
Tyler Glasnow,LAD,SP,8,elbow
Cam Booser,BOS,RP,8,elbow
Hunter Greene,CIN,SP,8,elbow
Randy Rodríguez,SFG,RP,8,elbow
Dominic Leone,CHW,RP,8,elbow
Yimi García,SEA,RP,8,elbow
Andrew Nardi,MIA,RP,8,elbow
Carson Fulmer,LAA,SP,8,elbow
Luis García,BOS,RP,8,elbow
Justin Steele,CHC,SP,8,elbow
Brock Stewart,MIN,RP,8,shoulder
Ryan Feltner,COL,SP,8,shoulder
Joe Ryan,MIN,SP,8,shoulder
Josh Sborz,TEX,RP,8,shoulder
Hoby Milner,MIL,RP,8,shoulder
Christian Roa,CIN,SP,8,shoulder
Anthony Bender,MIA,RP,8,shoulder
Zack Littell,TBR,SP,8,shoulder
Zach Eflin,BAL,SP,8,shoulder
Scott Alexander,OAK,RP,8,shoulder
Andrew Abbott,CIN,SP,8,shoulder
Tyler Mahle,TEX,SP,8,shoulder
Jimmy Lambert,CHW,RP,8,shoulder
Alex Faedo,DET,RP,8,shoulder
Joan Adon,WSN,RP,8,shoulder
Jordan Hicks,SFG,RP,8,shoulder
Lucas Gilbreath,COL,RP,8,shoulder
Ben Heller,PIT,RP,8,shoulder
Colin Poche,TBR,RP,8,shoulder
Joe Kelly,LAD,RP,8,shoulder
Adbert Alzolay,CHC,RP,8,TJ
River Ryan,LAD,SP,8,TJ
Jacob Latz,TEX,RP,8,forearm
Austin Adams,OAK,RP,8,forearm
Derek Law,WSN,RP,8,forearm
Nick Mears,MIL,RP,8,forearm
Dedniel Núñez,NYM,RP,8,forearm
Matt Moore,LAA,RP,8,forearm
Jeffrey Springs,TBR,SP,9,elbow
Drew Thorpe,CHW,SP,9,elbow
Brennan Bernardino,BOS,RP,9,elbow
John McMillon,MIA,RP,9,elbow
James McArthur,KCR,RP,9,elbow
Tyler Kinley,COL,RP,9,elbow
Nestor Cortes,NYY,SP,9,elbow
Julian Aguiar,CIN,SP,9,elbow
Ben Joyce,LAA,RP,9,shoulder
Max Meyer,MIA,SP,9,shoulder
Kyle Harrison,SFG,SP,9,shoulder
Calvin Faucher,MIA,RP,9,shoulder
Sam Moll,CIN,RP,9,shoulder
Ryne Nelson,ARI,SP,9,shoulder
Reynaldo López,ATL,SP,9,shoulder
José Ureña,TEX,RP,9,shoulder
José Marte,LAA,RP,9,shoulder
Jordan Hicks,SFG,RP,9,shoulder
Sam Hentges,CLE,RP,9,shoulder
Kenley Jansen,BOS,RP,9,shoulder
Brusdar Graterol,LAD,RP,9,shoulder
Josh Sborz,TEX,RP,9,shoulder
Brandon Williamson,CIN,SP,9,TJ
Christian Scott,NYM,SP,9,TJ
Osvaldo Bido,OAK,SP,9,forearm
Chris Stratton,KCR,RP,9,forearm
Marco Gonzales,PIT,SP,9,forearm
Nestor Cortes,NYY,SP,9,forearm
Sonny Gray,STL,SP,9,forearm
JoJo Romero,STL,RP,9,forearm
